Data;Ret_USD;ret_IBOV;ret_CVCB3;;;;;
18/06/2014;0,00;0,02;0,00;;;;;
20/06/2014;-0,01;-0,01;-0,03;;;;;
23/06/2014;-0,01;-0,01;0,00;;;;;
24/06/2014;0,00;0,00;0,00;;;;;
25/06/2014;-0,01;-0,02;-0,02;;;;;
26/06/2014;0,00;0,00;-0,01;;;;;
27/06/2014;-0,01;-0,01;-0,03;;;;;
30/06/2014;0,00;0,00;0,02;;;;;
01/07/2014;0,00;0,00;-0,02;;;;;
02/07/2014;0,00;0,00;0,01;;;;;
03/07/2014;0,01;0,02;-0,01;;;;;
04/07/2014;-0,01;0,00;0,02;;;;;
07/07/2014;0,00;0,00;-0,01;;;;;
08/07/2014;0,00;0,00;-0,03;;;;;
10/07/2014;0,00;0,02;0,00;;;;;
11/07/2014;0,00;0,00;0,00;;;;;
14/07/2014;0,00;0,02;0,04;;;;;
15/07/2014;0,00;0,00;0,01;;;;;
16/07/2014;0,00;0,00;0,01;;;;;
17/07/2014;0,01;0,00;0,04;;;;;
18/07/2014;0,00;0,02;0,04;;;;;
21/07/2014;-0,01;0,01;-0,01;;;;;
22/07/2014;0,00;0,01;-0,01;;;;;
23/07/2014;0,00;-0,01;-0,02;;;;;
24/07/2014;0,00;0,01;0,00;;;;;
25/07/2014;0,00;0,00;0,02;;;;;
28/07/2014;0,00;0,00;-0,01;;;;;
29/07/2014;0,00;-0,01;-0,01;;;;;
30/07/2014;0,01;0,00;0,02;;;;;
31/07/2014;0,01;-0,02;-0,01;;;;;
01/08/2014;0,00;0,00;-0,01;;;;;
04/08/2014;0,00;0,01;0,01;;;;;
05/08/2014;0,01;-0,01;0,01;;;;;
06/08/2014;0,00;0,01;0,00;;;;;
07/08/2014;0,00;-0,01;0,00;;;;;
08/08/2014;0,01;-0,01;0,01;;;;;
11/08/2014;-0,01;0,02;-0,03;;;;;
12/08/2014;0,00;0,00;-0,01;;;;;
13/08/2014;0,00;-0,02;-0,05;;;;;
14/08/2014;0,00;0,00;-0,01;;;;;
15/08/2014;0,00;0,02;0,02;;;;;
18/08/2014;0,00;0,01;0,02;;;;;
19/08/2014;0,00;0,02;0,02;;;;;
20/08/2014;0,00;0,01;0,03;;;;;
21/08/2014;0,00;0,00;0,03;;;;;
22/08/2014;0,01;-0,01;0,02;;;;;
25/08/2014;0,00;0,02;0,00;;;;;
26/08/2014;0,00;0,00;0,02;;;;;
27/08/2014;-0,01;0,02;0,02;;;;;
28/08/2014;0,00;-0,01;-0,01;;;;;
29/08/2014;0,00;0,02;0,02;;;;;
01/09/2014;0,00;0,00;0,00;;;;;
02/09/2014;0,01;0,01;0,01;;;;;
03/09/2014;-0,01;0,00;0,01;;;;;
04/09/2014;0,00;-0,02;0,01;;;;;
05/09/2014;0,00;0,00;0,01;;;;;
08/09/2014;0,00;-0,02;0,01;;;;;
09/09/2014;0,01;-0,01;-0,01;;;;;
10/09/2014;0,01;-0,01;-0,02;;;;;
11/09/2014;0,00;0,00;0,02;;;;;
12/09/2014;0,02;-0,02;-0,03;;;;;
15/09/2014;0,01;0,02;0,00;;;;;
16/09/2014;0,00;0,02;0,00;;;;;
17/09/2014;0,00;0,00;-0,01;;;;;
18/09/2014;0,01;-0,01;-0,02;;;;;
19/09/2014;0,00;-0,01;0,00;;;;;
22/09/2014;0,01;-0,02;-0,01;;;;;
23/09/2014;0,01;0,00;0,01;;;;;
24/09/2014;0,00;0,01;0,00;;;;;
25/09/2014;0,00;-0,02;-0,02;;;;;
26/09/2014;0,01;0,02;0,02;;;;;
29/09/2014;0,01;-0,05;-0,01;;;;;
30/09/2014;0,00;-0,01;-0,01;;;;;
01/10/2014;0,00;-0,02;0,00;;;;;
02/10/2014;0,01;0,01;-0,02;;;;;
03/10/2014;0,01;0,02;0,02;;;;;
06/10/2014;-0,03;0,05;0,02;;;;;
07/10/2014;0,00;0,01;0,02;;;;;
08/10/2014;0,00;-0,01;0,00;;;;;
09/10/2014;-0,01;0,00;0,01;;;;;
10/10/2014;0,01;-0,03;-0,02;;;;;
13/10/2014;-0,01;0,05;0,00;;;;;
14/10/2014;0,00;0,00;0,01;;;;;
15/10/2014;0,01;-0,03;-0,02;;;;;
16/10/2014;0,02;-0,03;0,00;;;;;
17/10/2014;-0,01;0,03;0,00;;;;;
20/10/2014;0,00;-0,03;-0,01;;;;;
21/10/2014;0,01;-0,03;-0,01;;;;;
22/10/2014;0,00;0,00;-0,04;;;;;
23/10/2014;0,01;-0,03;-0,02;;;;;
24/10/2014;-0,01;0,02;0,02;;;;;
27/10/2014;0,02;-0,03;-0,01;;;;;
28/10/2014;-0,02;0,04;-0,01;;;;;
29/10/2014;-0,02;-0,02;-0,05;;;;;
30/10/2014;-0,01;0,03;0,06;;;;;
31/10/2014;0,01;0,04;0,00;;;;;
03/11/2014;0,02;-0,01;0,00;;;;;
04/11/2014;0,01;0,01;0,02;;;;;
05/11/2014;0,00;-0,01;0,00;;;;;
06/11/2014;0,01;-0,02;-0,03;;;;;
07/11/2014;0,02;0,01;0,02;;;;;
10/11/2014;-0,01;-0,01;-0,01;;;;;
11/11/2014;0,01;0,00;-0,03;;;;;
12/11/2014;0,00;0,01;0,03;;;;;
13/11/2014;0,01;-0,02;-0,03;;;;;
14/11/2014;0,02;0,00;-0,02;;;;;
17/11/2014;0,00;-0,01;0,00;;;;;
18/11/2014;0,00;0,02;0,02;;;;;
19/11/2014;0,00;0,03;-0,01;;;;;
21/11/2014;-0,02;0,05;0,07;;;;;
24/11/2014;0,00;-0,01;0,01;;;;;
25/11/2014;0,00;0,00;-0,01;;;;;
26/11/2014;-0,01;-0,01;0,00;;;;;
27/11/2014;0,00;-0,01;-0,01;;;;;
28/11/2014;0,02;0,00;0,01;;;;;
01/12/2014;0,00;-0,04;-0,02;;;;;
02/12/2014;0,00;-0,01;-0,01;;;;;
03/12/2014;0,00;0,01;0,00;;;;;
04/12/2014;0,01;-0,02;0,02;;;;;
05/12/2014;0,00;0,01;0,03;;;;;
08/12/2014;0,00;-0,03;0,02;;;;;
09/12/2014;0,00;0,00;-0,04;;;;;
10/12/2014;0,00;-0,01;-0,03;;;;;
11/12/2014;0,01;0,01;0,03;;;;;
12/12/2014;0,01;-0,04;-0,02;;;;;
15/12/2014;0,01;-0,02;-0,03;;;;;
16/12/2014;0,03;0,00;0,00;;;;;
17/12/2014;-0,01;0,04;-0,01;;;;;
18/12/2014;-0,02;0,00;0,03;;;;;
19/12/2014;-0,01;0,02;0,03;;;;;
